16.76,0.00,0.48
12.09,0.00,-0.90
10.71,0.00,0.58
5.52,0.00,0.58
-2.12,0.00,0.27
-5.41,0.00,0.05
-6.36,0.00,3.87
-3.08,0.00,11.30
2.02,0.00,3.24
0.64,0.00,-6.21
1.17,0.00,-2.49
0.85,0.00,-10.24
2.12,0.00,-12.89
4.77,0.00,-7.48
-6.68,0.00,-16.81
-29.49,0.00,-17.45
-18.25,0.00,-16.18
-15.49,0.00,-10.55
-13.58,0.00,-14.27
-15.27,0.00,-17.24
-11.99,0.00,-17.13
-16.44,0.00,-6.84
-21.75,0.00,-16.60
-17.61,0.00,-3.55
-12.94,0.00,-5.14
-11.67,0.00,-8.86
-14.43,0.00,-1.33
-16.02,0.00,2.70
-19.62,0.00,0.90
-10.82,0.00,3.13
-9.33,0.00,11.30
-12.30,0.00,18.83
-8.91,0.00,21.06
-5.20,0.00,20.84
0.21,0.00,17.03
3.18,0.00,11.93
13.58,0.00,12.57
15.59,0.00,7.27
10.08,0.00,5.99
10.40,0.00,-2.92
5.41,0.00,-3.13
10.50,0.00,-5.14
5.41,0.00,-5.99
10.40,0.00,-8.43
9.97,0.00,-12.25
7.21,0.00,-13.84
4.03,0.00,-9.71
6.26,0.00,-21.16
11.14,0.00,-19.15
-2.76,0.00,-15.75
-6.36,0.00,-4.83
-3.50,0.00,-11.72
-20.79,0.00,4.30
-14.64,0.00,23.07
-13.58,0.00,20.95
-11.77,0.00,17.03
-11.35,0.00,15.01
-14.64,0.00,13.63
-15.27,0.00,15.86
-16.02,0.00,17.56
-16.97,0.00,20.00
-15.38,0.00,25.19
-18.14,0.00,23.71
-22.06,0.00,23.60
-23.44,0.00,22.54
-22.17,0.00,20.31
-21.43,0.00,18.40
-20.47,0.00,16.39
-20.05,0.00,14.37
-19.52,0.00,12.46
-18.78,0.00,10.66
-22.91,0.00,10.24
-24.19,0.00,12.15
-24.82,0.00,14.37
-25.78,0.00,16.18
-27.69,0.00,8.96
-25.25,0.00,7.37
-24.82,0.00,2.39
-24.50,0.00,-1.43
-5.52,0.00,-6.84
-7.21,0.00,-7.90
-7.53,0.00,-5.46
-8.38,0.00,-2.39
8.17,0.00,26.68
4.88,0.00,22.44
4.35,0.00,26.89
3.39,0.00,17.77
9.33,0.00,9.49
9.23,0.00,12.15
14.64,0.00,10.34
4.03,0.00,10.13
13.05,0.00,27.78
13.43,0.00,33.83
13.30,0.49,37.83
14.79,0.00,39.91
14.65,0.00,27.51
20.81,0.00,27.57
14.63,0.00,23.53
14.60,0.00,18.44
21.32,0.00,5.73
25.58,0.00,6.74
20.02,0.00,1.21
20.53,0.00,-1.43
19.54,0.00,-1.49
19.44,0.00,-3.05
16.70,0.00,-2.83
16.44,0.00,-7.25
12.01,0.00,-7.24
13.47,0.00,-4.93
4.77,0.00,7.40
5.77,0.00,9.57
-1.40,0.00,14.67
-1.01,0.00,11.86
-0.98,0.00,9.43
-3.73,0.00,16.72
-6.58,0.00,15.46
-4.30,2.40,16.45
-5.03,0.00,24.61
-6.33,0.00,27.75
-7.56,0.00,32.12
-9.92,0.00,30.07
-12.47,0.00,28.28
-10.35,0.00,27.25
-6.70,0.00,34.12
-12.14,0.00,33.62
-18.22,0.00,34.18
-19.89,0.00,37.80
-23.36,0.00,34.86
-22.06,0.00,31.84
-22.31,0.00,34.02
-23.90,0.00,30.41
-17.69,1.98,31.77
-20.43,0.00,32.34
-26.66,0.00,27.51
-26.82,0.00,20.02
-23.38,0.00,17.08
-24.04,0.00,18.56
-22.54,0.00,14.68
-21.92,0.00,13.23
-21.07,0.00,10.90
-20.33,0.00,9.18
-21.72,0.00,6.90
-27.22,0.00,15.40
-13.07,0.00,12.20
-12.70,0.00,8.59
-11.73,0.00,6.54
-8.10,0.00,7.40
-13.47,0.00,2.79
-13.68,0.00,4.68
-16.24,0.00,4.79
-18.28,0.00,4.73
-19.04,0.00,7.35
-7.05,0.00,-14.68
-8.05,0.00,-14.11
-19.24,0.00,-21.35
-20.69,0.00,-21.60
-17.42,0.00,-24.11
-15.28,0.00,-21.22
-11.97,0.00,-22.45
-17.02,1.94,-19.95
-11.89,0.00,-31.13
-11.78,0.00,-28.06
-1.33,0.00,-30.04
-5.86,0.00,-30.55
-7.91,0.00,-32.87
8.50,0.00,-31.11
2.21,0.00,-31.73
1.98,0.00,-27.31
2.85,0.00,-29.05
1.52,0.00,-25.36
-0.41,0.00,-25.22
-3.05,0.00,-25.35
1.85,0.00,-22.27
-0.32,0.00,-22.29
4.84,0.00,-21.75
5.97,0.00,-26.38
7.64,0.00,-25.86
13.40,0.00,-24.07
11.09,0.00,-22.76
7.56,0.00,-20.09
16.77,0.00,-18.69
12.71,0.96,-16.88
16.64,0.00,-14.83
12.65,0.00,-14.50
10.73,0.00,-13.82
16.84,0.00,-11.48
16.75,0.00,-9.64
9.27,0.00,-11.14
5.90,0.00,-11.08
-22.27,0.00,-4.57
-27.68,0.00,-4.76
-37.94,0.00,-16.92
-38.44,0.00,-13.99
-40.54,0.00,-11.93
-40.29,0.00,-8.43
-44.92,0.00,-8.46
-46.17,0.00,-10.56
-43.85,0.00,-5.66
-39.75,0.00,-5.40
-37.53,0.00,-5.62
-35.28,0.00,-5.41
-37.87,0.00,0.71
-35.46,0.00,2.92
-35.07,0.00,10.31
-35.77,0.00,15.02
-34.46,0.00,13.70
-36.22,0.00,17.80
-33.00,0.00,15.85
-31.80,0.00,17.78
-33.26,0.00,19.51
-35.77,0.00,24.95
-28.14,0.00,17.36
-8.25,0.00,0.89
